episode,score,total_reward,epsilon,avg_loss
351,0,12.5,0.01,0.431051
352,0,14.4,0.01,0.305955
353,0,12.5,0.01,0.319465
354,1,28.6,0.01,0.395473
355,0,13.5,0.01,0.374255
356,0,14.3,0.01,0.439852
357,0,12.5,0.01,0.350658
358,1,28.6,0.01,0.355695
359,1,29.6,0.01,0.418601
360,1,30.6,0.01,0.392176
361,2,45.8,0.01,0.455095
362,2,45.6,0.01,0.426477
363,1,28.6,0.01,0.456653
364,1,28.6,0.01,0.432769
365,0,12.5,0.01,0.532342
366,2,46.6,0.01,0.437953
367,0,13.0,0.01,0.528615
368,0,12.5,0.01,0.485919
369,1,28.6,0.01,0.445516
370,0,14.1,0.01,0.419784
371,0,14.3,0.01,0.368857
372,0,14.2,0.01,0.435477
373,1,14.7,0.01,0.522955
374,4,77.0,0.01,0.450942
375,0,12.8,0.01,0.375115
376,7,112.0,0.01,0.417344
377,2,46.2,0.01,0.42342
378,1,28.6,0.01,0.404311
379,2,38.6,0.01,0.3605
380,0,12.5,0.01,0.285564
381,1,28.6,0.01,0.37845
382,3,60.6,0.01,0.423193
383,0,2.5,0.01,0.459422
384,0,2.5,0.01,0.38189
385,0,2.5,0.01,0.377114
386,1,28.6,0.01,0.415625
387,2,37.5,0.01,0.39805
388,8,127.8,0.01,0.385878
389,14,238.4,0.01,0.340762
390,2,45.3,0.01,0.24351
391,0,12.5,0.01,0.189804
392,5,92.6,0.01,0.292368
393,3,60.6,0.01,0.227304
394,1,28.6,0.01,0.186464
395,0,9.0,0.01,0.245764
396,1,28.6,0.01,0.294586
397,0,12.5,0.01,0.336468
398,2,44.6,0.01,0.25786
399,0,9.3,0.01,0.322082
400,0,12.5,0.01,0.33605
401,0,12.5,0.01,0.159784
402,0,12.5,0.01,0.373422
403,1,28.6,0.01,0.416576
404,0,3.4,0.01,0.508161
405,0,14.5,0.01,0.338519
406,0,14.2,0.01,0.376646
407,1,15.9,0.01,0.296775
408,1,30.3,0.01,0.279093
409,0,3.1,0.01,0.260018
410,1,28.6,0.01,0.302578
411,0,12.5,0.01,0.443832
412,0,12.5,0.01,0.438803
413,0,12.5,0.01,0.438769
414,0,13.8,0.01,0.395046
415,0,12.5,0.01,0.296248
416,0,13.8,0.01,0.401766
417,0,3.3,0.01,0.43516
418,0,12.5,0.01,0.461094
419,0,12.5,0.01,0.503082
420,1,28.6,0.01,0.314371
421,1,28.6,0.01,0.573448
422,2,44.6,0.01,0.369468
423,5,94.2,0.01,0.420625
424,4,63.8,0.01,0.459146
425,2,31.8,0.01,0.346036
426,5,92.9,0.01,0.503862
427,0,12.5,0.01,0.473622
428,3,53.2,0.01,0.445929
429,3,51.8,0.01,0.540481
430,0,12.5,0.01,0.402409
431,0,12.5,0.01,0.493073
432,2,45.9,0.01,0.479878
433,0,12.9,0.01,0.589761
434,2,44.6,0.01,0.566806
435,0,12.5,0.01,0.49024
436,1,29.4,0.01,0.480459
437,0,14.6,0.01,0.524928
438,1,30.5,0.01,0.510881
439,4,62.8,0.01,0.424762
440,0,12.5,0.01,0.479873
441,3,61.0,0.01,0.482564
442,4,78.2,0.01,0.370644
443,0,12.5,0.01,0.277669
444,1,30.6,0.01,0.342175
445,0,12.5,0.01,0.364355
446,2,44.6,0.01,0.366815
447,3,60.9,0.01,0.331948
448,0,12.5,0.01,0.293764
449,0,14.5,0.01,0.349379
450,1,28.9,0.01,0.360445
451,1,15.7,0.01,0.376934
452,2,31.8,0.01,0.373118
453,2,45.8,0.01,0.341504
454,0,12.5,0.01,0.360476
455,0,12.5,0.01,0.293736
456,0,10.3,0.01,0.328534
457,0,9.5,0.01,0.377587
458,1,15.9,0.01,0.284373
459,0,14.2,0.01,0.323111
460,0,2.5,0.01,0.595545
461,3,54.9,0.01,0.427084
462,0,2.5,0.01,0.477389
463,0,2.5,0.01,0.200303
464,0,12.7,0.01,0.379013
465,2,44.6,0.01,0.384719
466,0,13.4,0.01,0.373263
467,2,44.6,0.01,0.301084
468,2,44.6,0.01,0.377737
469,1,28.6,0.01,0.323463
470,7,126.4,0.01,0.301632
471,0,2.5,0.01,0.371407
472,0,2.5,0.01,0.332725
473,0,12.5,0.01,0.364497
474,0,2.5,0.01,0.243381
475,0,2.5,0.01,0.487603
476,0,2.5,0.01,0.359405
477,3,60.6,0.01,0.328278
478,0,14.4,0.01,0.416434
479,0,2.5,0.01,0.375926
480,0,2.5,0.01,0.359138
481,4,77.7,0.01,0.420289
482,1,28.6,0.01,0.400556
483,0,12.5,0.01,0.561287
484,1,28.6,0.01,0.354547
485,2,44.6,0.01,0.389065
486,0,3.2,0.01,0.401272
487,1,29.1,0.01,0.405732
488,0,2.9,0.01,0.246683
489,0,3.0,0.01,0.291842
490,0,3.1,0.01,0.441871
491,2,44.6,0.01,0.451006
492,3,61.8,0.01,0.40699
493,2,45.4,0.01,0.333048
494,13,220.6,0.01,0.366061
495,0,12.5,0.01,0.327474
496,1,28.6,0.01,0.268387
497,0,12.5,0.01,0.306074
498,5,92.6,0.01,0.273335
499,2,44.6,0.01,0.307534
500,0,12.7,0.01,0.204951
501,7,124.6,0.01,0.258655
502,5,94.6,0.01,0.233056
503,3,60.6,0.01,0.205848
504,2,44.6,0.01,0.222784
505,1,14.7,0.01,0.135808
506,1,28.7,0.01,0.20291
507,0,12.5,0.01,0.226717
508,4,76.6,0.01,0.214515
509,1,28.6,0.01,0.136773
510,0,13.2,0.01,0.178983
511,4,77.9,0.01,0.17758
512,14,223.8,0.01,0.160308
513,0,6.2,0.01,0.200864
514,1,30.7,0.01,0.157539
515,0,12.5,0.01,0.231871
516,0,12.8,0.01,0.178668
517,0,12.5,0.01,0.197575
518,0,2.5,0.01,0.122568
519,0,12.5,0.01,0.163815
520,0,12.5,0.01,0.183261
521,0,12.8,0.01,0.308953
522,0,13.9,0.01,0.206012
523,0,12.8,0.01,0.231026
524,0,2.5,0.01,0.288546
525,1,28.6,0.01,0.411292
526,8,140.8,0.01,0.275958
527,1,28.6,0.01,0.391693
528,0,12.5,0.01,0.267053
529,0,2.5,0.01,0.338522
530,3,60.6,0.01,0.334656
531,0,12.5,0.01,0.33773
532,1,28.6,0.01,0.319737
533,0,13.0,0.01,0.270542
534,1,28.6,0.01,0.24094
535,0,13.6,0.01,0.413538
536,0,2.5,0.01,0.223087
537,1,28.6,0.01,0.406902
538,3,53.1,0.01,0.438318
539,0,10.4,0.01,0.302048
540,0,12.5,0.01,0.333489
541,3,54.6,0.01,0.306042
542,1,23.0,0.01,0.323441
543,0,12.5,0.01,0.323889
544,3,55.3,0.01,0.338294
545,3,55.0,0.01,0.325055
546,4,76.6,0.01,0.401681
547,1,23.2,0.01,0.354131
548,0,12.6,0.01,0.389937
549,0,14.0,0.01,0.402854
550,2,44.6,0.01,0.456646
551,5,92.6,0.01,0.359164
552,5,93.5,0.01,0.293426
553,1,28.6,0.01,0.256346
554,0,14.4,0.01,0.28891
555,0,9.1,0.01,0.261309
556,0,14.3,0.01,0.262306
557,0,13.7,0.01,0.205239
558,1,28.6,0.01,0.327879
559,1,28.6,0.01,0.260442
560,0,12.5,0.01,0.256022
561,0,12.5,0.01,0.420409
562,0,12.5,0.01,0.302561
563,0,12.5,0.01,0.418648
564,2,44.6,0.01,0.381823
565,1,15.8,0.01,0.308497
566,3,60.6,0.01,0.348772
567,0,13.9,0.01,0.237079
568,2,38.8,0.01,0.264156
569,0,13.6,0.01,0.404785
570,10,159.8,0.01,0.317203
571,0,14.4,0.01,0.405699
572,2,46.4,0.01,0.379469
573,0,12.5,0.01,0.297243
574,1,30.0,0.01,0.301166
575,1,15.9,0.01,0.280824
576,20,333.9,0.01,0.326373
577,3,62.5,0.01,0.256446
